24264, 19072, 2479, 13514, 27250, 4544, 15228, 13830, 6940, 31209,
20164, 27171, 16676, 7161, 6750, 10033, 2728, 7329, 25357, 18035,
13618, 10065, 14922, 6160, 667, 8086, 14916, 16140, 29993, 31909,
17190, 2423, 5883, 824, 7576, 6372, 20647, 20888, 9864, 28445,
4897, 29179, 26666, 13077, 22751, 26385, 17469, 16926, 16954, 26330,
5009, 24924, 20760, 14266, 24262, 9082, 1992, 25551, 5206, 22171,
28461, 13954, 24534, 3732, 18463, 14428, 1656, 8024, 27662, 7452,
27861, 7091, 8424, 22534, 10729, 11324, 25661, 19069, 19295, 21125,
29090, 16596, 12047, 27796, 2131, 12642, 5574, 3223, 13340, 29140,
21317, 30931, 7545, 22215, 16268, 26590, 9468, 29079, 19800, 19726,
19951, 24689, 27114, 18737, 15419, 25776, 2570, 4990, 18824, 13158,
2124, 28364, 30118, 13368, 14482, 32514, 13867, 8816, 21714, 4815,
26974, 17485, 10009, 13723, 28756, 11421, 5328, 7613, 13401, 14990,
28479, 19182, 7058, 19394, 11599, 26877, 12512, 21665, 29332, 19141,
774, 21235, 1930, 4445, 32527, 20142, 10015, 21390, 18922, 23820,
17778, 22922, 23896, 23009, 13275, 16602, 27656, 19244, 17963, 7321,
20735, 8940, 23861, 26080, 3646, 21301, 31373, 20609, 7839, 26754,
16783, 22520, 7937, 7757, 2467, 6302, 4772, 8669, 26048, 18720,
18134, 30560, 17711, 26672, 6608, 13625, 4498, 29306, 10459, 2459,
28196, 13530, 10679, 15959, 31810, 3788, 29500, 12018, 18731, 14628,
31042, 25851, 18692, 25855, 16319, 20123, 799, 18169, 2351, 17262,
21372, 25248, 17465, 19345, 26000, 10793, 31887, 23805, 19526, 18018,
21270, 787, 23364, 6888, 16711, 9335, 9583, 23194, 11221, 23330,
17585, 16461, 2191, 4787, 20218, 16322, 7049, 24838, 7300, 17109,
3958, 19720, 17244, 18166, 27993, 30666, 27678, 28381, 14173, 23508,
25599, 23674, 11008, 5819, 4113, 26411, 28279, 28918, 9667, 562,
11598, 6125, 19623, 26470, 26704, 15955, 3449, 23080, 31910, 5814,
12892, 5785, 9795, 23636, 31846, 16651, 383, 24113, 21087, 27061,
20481, 16486, 19654, 30890, 1251, 26556, 17173, 5644, 23569, 17273,
15943, 25212, 242, 27002, 29846, 5078, 2123, 14466, 12937, 18971,
